MemberID,Member_Name, PhoneNo,Address,Class,issue_status
112.0,Anil,9922875566.0,Nagina,10-A,yes
113.0,Usain,7655747392.0,Bundki,12-A,yes
114.0,anuska,8765899000.0,Harganpur,8-A,no
115.0,anuj,7759003744.0,Rajpura,12-A,no
116.0,Amkash,7885435600.0,Najibabad,12-A,yes
117.0,Arun,7885435600.0,Nagina,8-A,no
118.0,Dhruv,7885435600.0,Najibabad,10-B,no
119.0,Anmol,7885435600.0,Bijnor,12-B,no
120.0,Akshit,7885435600.0,Akbrabad,12-A,yes
121.0,Shubh,7885435600.0,Rajpura,9-A,yes
122.0,Bablu,7885435600.0,DSIL,7-C,yes
123.0,Harshit,7885435600.0,Nagina,12-A,no
124.0,Madhav,7885435600.0,Najibabad,12-A,yes
125.0,Mahim,7885435600.0,Harganpur,8-A,yes
126.0,Bhawesh,7885435600.0,Rajpura,10-B,no
127.0,Mayank,7885435600.0,Bundki,12-B,yes
128.0,Ankit,7885435600.0,DSIL,12-A,no
129.0,Sonu,7885435600.0,Nagina,9-A,yes
130.0,Ankita,7885435600.0,Akbrabad,7-C,no
131.0,Virat,7823098111.0,Nagina,10-A,No
132.0,Jai,8976000213.0,Nagina,10-A,No
